TweetDate,Hashtag,HashtagFreq
"2020-04-04 23:59:48",UnhingedEmployees,1
"2020-04-04 23:59:37",abortions,1
"2020-04-04 23:59:37",pandemic,71
"2020-04-04 23:59:32",domesticviolence,1
"2020-04-04 23:58:47",Economy,1
"2020-04-04 23:57:48",DearMrPresident,2
"2020-04-04 23:57:30",Masks,16
"2020-04-04 23:57:11",flu,11
"2020-04-04 23:57:11",prepper,22
"2020-04-04 23:57:11",virus,9
"2020-04-04 23:56:09",LatestUpdate,1
"2020-04-04 23:56:09",nys,7
"2020-04-04 23:55:41",ProtectOurCare,1
"2020-04-04 23:55:18",coverup,1
"2020-04-04 23:55:18",screenshots,1
"2020-04-04 23:55:18",TrumpVirusCoverup,2
"2020-04-04 23:54:58",StayHome,206
"2020-04-04 23:54:26",IdahoCovid19,18
"2020-04-04 23:54:14",AocIsDumberthanA5thGrader,1
"2020-04-04 23:54:05",essential,2
"2020-04-04 23:54:05",HOME,4
"2020-04-04 23:54:05",loveofmylife,1
"2020-04-04 23:51:23",ArtificialIntelligence,29
"2020-04-04 23:51:23",fiskars,1
"2020-04-04 23:51:23",Garden,1
"2020-04-04 23:51:23",gardening,1
"2020-04-04 23:51:18",intelagencies,1
"2020-04-04 23:51:07",ALPolitics,2
"2020-04-04 23:51:07",Election2020,2
"2020-04-04 23:51:07",StayAtHome,35
"2020-04-04 23:50:06",littlepugdashians,7
"2020-04-04 23:50:06",pugdashians,7
"2020-04-04 23:49:38",EVIDENCE,6
"2020-04-04 23:49:38",INDICTED,6
"2020-04-04 23:49:38",INDICTMENTS,6
"2020-04-04 23:49:38",SEALED,6
"2020-04-04 23:49:12",thisistheend,1
"2020-04-04 23:48:39",CHINA,6
"2020-04-04 23:48:39",December,1
"2020-04-04 23:47:14",AOC,1
"2020-04-04 23:47:14",Pelosi,1
"2020-04-04 23:46:02",ACSCOVID19,1
"2020-04-04 23:45:39",InThisTogether,4
"2020-04-04 23:45:31",pandemiclife,1
"2020-04-04 23:44:13",DREAMS,1
"2020-04-04 23:44:13",firefighter,1
"2020-04-04 23:44:08",LieuserLieu,1
"2020-04-04 23:43:13",catoftheday,1
"2020-04-04 23:43:13",CatsOfTwitter,1
"2020-04-04 23:35:48",mepolitics,68
"2020-04-04 23:35:48",resist,88
"2020-04-04 23:35:48",stimulus,18
"2020-04-04 23:35:48",VoteBlue2020,47
"2020-04-04 23:35:13",GetMePPE,3
"2020-04-04 23:35:01",dogsoftwitter,11
"2020-04-04 23:34:38",AlexJones,1
"2020-04-04 23:34:38",Infowars,1
"2020-04-04 23:32:01",productivityshame,1
"2020-04-04 23:31:00",campaign,2
"2020-04-04 23:31:00",Support,2
"2020-04-04 23:30:31",Ρουβίκωνα,63
"2020-04-04 23:29:59",cartoons,26
"2020-04-04 23:29:59",ChinaVirus,26
"2020-04-04 23:29:59",Pence,26
"2020-04-04 23:29:59",satire,28
"2020-04-04 23:29:50",HealthcareHeroes,18
"2020-04-04 23:29:40",mystic,1
"2020-04-04 23:29:40",pixiealchemysoulcoaching,1
"2020-04-04 23:29:40",tarot,1
"2020-04-04 23:28:49",easyhairstyles,1
"2020-04-04 23:28:49",hairbysabrenahandley,1
"2020-04-04 23:28:49",timelapse,1
"2020-04-04 23:28:20",LoveIsBlind,4
