TweetDate,Hashtag,HashtagFreq
"2020-04-02 23:59:57",MAGA,51
"2020-04-02 23:59:35",mepolitics,144
"2020-04-02 23:59:35",resist,163
"2020-04-02 23:59:35",TrumpGOP,15
"2020-04-02 23:59:35",VoteBlue2020,82
"2020-04-02 23:58:58",climate,16
"2020-04-02 23:58:57",ItWasAFoolsErrand,9
"2020-04-02 23:58:50",COVID1984,867
"2020-04-02 23:58:37",EVIDENCE,17
"2020-04-02 23:58:37",INDICTED,17
"2020-04-02 23:58:37",INDICTMENTS,17
"2020-04-02 23:58:37",SEALED,17
"2020-04-02 23:58:30",ROC,50
"2020-04-02 23:58:21",Hatmakers,3
"2020-04-02 23:58:15",StayHome,208
"2020-04-02 23:58:06",epitaxi_twra,9
"2020-04-02 23:58:06",menoume_dynatoi,9
"2020-04-02 23:58:06",ΚΚΕ,9
"2020-04-02 23:58:06",ΚΝΕ,9
"2020-04-02 23:56:55",NewYorkCity,2
"2020-04-02 23:56:48",flu,3
"2020-04-02 23:56:48",prepper,16
"2020-04-02 23:56:48",virus,8
"2020-04-02 23:56:37",stimulus,36
"2020-04-02 23:56:26",pandemic,79
"2020-04-02 23:56:26",zoom,1
"2020-04-02 23:55:05",401k,6
"2020-04-02 23:55:05",fiduciary,5
"2020-04-02 23:55:05",IRA,5
"2020-04-02 23:55:05",Retirement,5
"2020-04-02 23:54:08",Cicero,5
"2020-04-02 23:53:50",blogging,1
"2020-04-02 23:53:50",checkin,1
"2020-04-02 23:52:31",NotMyPresident,5
"2020-04-02 23:52:31",PutinsPuppet,4
"2020-04-02 23:52:12",animalhealth,1
"2020-04-02 23:52:12",healthcare,18
"2020-04-02 23:52:06",hospital,33
"2020-04-02 23:51:56",BillGates,1
"2020-04-02 23:51:44",JaredKushner,26
"2020-04-02 23:51:44",mypillow,1
"2020-04-02 23:51:39",FakeNews,6
"2020-04-02 23:51:36",Maryland,6
"2020-04-02 23:51:11",gop,7
"2020-04-02 23:50:50",IdahoCovid19,28
"2020-04-02 23:50:37",idpol,2
"2020-04-02 23:50:11",GOPComplicit,15
"2020-04-02 23:50:11",VoteBlueToEndThisNightmare,27
"2020-04-02 23:49:49",COVID,361
"2020-04-02 23:49:37",Repug,9
"2020-04-02 23:48:44",Bingo,1
"2020-04-02 23:48:28",COVID19,615
"2020-04-02 23:47:20",physicaldistancing,8
"2020-04-02 23:46:21",RIT,31
"2020-04-02 23:46:19",voteblue,17
"2020-04-02 23:46:16",MeasureTwiceAndCutOnce,1
"2020-04-02 23:46:12",IAmDoneWithChina,2
"2020-04-02 23:46:09",ballstonspa,1
"2020-04-02 23:45:58",sciart,3
