TweetDate,Hashtag,HashtagFreq
"2020-04-03 23:59:57",TestsNow,12
"2020-04-03 23:59:57",wherearethetests,12
"2020-04-03 23:59:54",LoveIsBlind,7
"2020-04-03 23:57:48",duh,3
"2020-04-03 23:57:18",flu,3
"2020-04-03 23:57:18",prepper,19
"2020-04-03 23:57:18",virus,7
"2020-04-03 23:57:03",mepolitics,104
"2020-04-03 23:57:03",resist,147
"2020-04-03 23:57:03",VoteBlue2020,116
"2020-04-03 23:55:30",irondequoit,1
"2020-04-03 23:55:30",ROC,63
"2020-04-03 23:55:18",ColorStreet,1
"2020-04-03 23:55:18",homeschooling,1
"2020-04-03 23:55:18",NailFairyTina,1
"2020-04-03 23:55:18",NominateATeacher,1
"2020-04-03 23:55:18",teachers,1
"2020-04-03 23:55:18",TinasBagsAndNails,1
"2020-04-03 23:54:24",IdahoCovid19,16
"2020-04-03 23:54:00",heardonscammer,4
"2020-04-03 23:53:30",COVID2019,40
"2020-04-03 23:53:27",COVID19,622
"2020-04-03 23:53:27",doctors,14
"2020-04-03 23:53:27",HealthcareHeroes,27
"2020-04-03 23:53:27",nurses,13
"2020-04-03 23:53:27",NursesAreHeroes,13
"2020-04-03 23:53:27",NYC,19
"2020-04-03 23:53:01",GeneralStrike,1
"2020-04-03 23:52:51",COVID19Pandemic,68
"2020-04-03 23:52:49",WuhanVirus,3
"2020-04-03 23:51:50",DrFauci,1
"2020-04-03 23:51:46",Challenger,5
"2020-04-03 23:51:28",TrumpFamilyMovieNight,1
"2020-04-03 23:51:14",giveaway,2
"2020-04-03 23:51:14",QuarantineSale,2
"2020-04-03 23:51:14",videogames,2
"2020-04-03 23:50:28",5GCoronavirus,2
"2020-04-03 23:50:23",AmazonStrike,1
"2020-04-03 23:49:22",COVID1984,759
"2020-04-03 23:48:54",FF,4
"2020-04-03 23:48:42",idaho,3
"2020-04-03 23:48:42",KootenaiCounty,1
"2020-04-03 23:47:39",publishing,3
"2020-04-03 23:46:42",WakeUpAmerica,5
"2020-04-03 23:46:42",WeAreTheNewsNow,5
"2020-04-03 23:46:42",WWG1WGA,5
"2020-04-03 23:44:43",Iowa,1
"2020-04-03 23:44:43",IowaPandemic,1
"2020-04-03 23:44:43",KimReynolds,1
"2020-04-03 23:44:00",extrovert,1
"2020-04-03 23:44:00",introvert,1
"2020-04-03 23:43:42",Bills,18
"2020-04-03 23:42:21",MasksSaveLives,2
"2020-04-03 23:41:45",DavidBlaineTheMagicWay,2
"2020-04-03 23:41:25",quarantinestyle,1
"2020-04-03 23:40:22",GxFR,29
"2020-04-03 23:39:57",PEOPLE,60
"2020-04-03 23:39:57",SEE,59
"2020-04-03 23:31:55",NewYork,5
"2020-04-03 23:31:55",SYR,12
"2020-04-03 23:31:55",Syracuse,5
"2020-04-03 23:30:44",gosaxons,1
"2020-04-03 23:30:36",TrumpLiedPeopleDied,2
"2020-04-03 23:30:36",TrumpOwnsEveryDeath,7
"2020-04-03 23:30:36",TrumpPandemic,6
"2020-04-03 23:30:13",donotpassgo,1
"2020-04-03 23:30:13",donotpassgodonotcollect200dollars,1
"2020-04-03 23:30:13",fiance,1
"2020-04-03 23:30:13",gamenight,2
"2020-04-03 23:30:13",monopoly,1
"2020-04-03 23:29:48",Homeschooling2020,1
"2020-04-03 23:29:48",technologyintegraton,2
"2020-04-03 23:29:32",twithaca,20
"2020-04-03 23:28:40",dragqueen,1
"2020-04-03 23:28:21",OnondagaCounty,2
"2020-04-03 23:27:58",invisibleman,1
"2020-04-03 23:26:27",CatchSonic,1
"2020-04-03 23:26:27",SonicMovie,2
"2020-04-03 23:26:27",SONICWATCHPARTY,1
"2020-04-03 23:25:55",auspol,2
"2020-04-03 23:25:55",Covid_19australia,2
"2020-04-03 23:25:55",noworkerleftbehind,1
"2020-04-03 23:25:49",Preppertalk,1
"2020-04-03 23:25:47",Masks,22
"2020-04-03 23:22:55",originalmusic,2
