TweetDate,Hashtag,HashtagFreq
"2020-04-15 14:01:20",11x14,1
"2020-04-15 16:36:56",15april2020,1
"2020-04-15 22:05:10",1TermTrump,1
"2020-04-15 11:00:33",2020HipHop,1
"2020-04-15 01:24:39",20SecondsOrMore,1
"2020-04-15 00:52:00",25thAmendmentNow,1
"2020-04-15 20:44:59",33Liberty,1
"2020-04-15 00:55:38",3D,2
"2020-04-15 21:52:33",3dbrooklyn,1
"2020-04-15 00:53:47",3Dprinted,1
"2020-04-15 00:17:56",3Dprinting,2
"2020-04-15 23:10:56",4thekeyworkers,1
"2020-04-15 17:26:53",4x4,1
"2020-04-15 17:38:45",57thstreet,1
"2020-04-15 17:38:45",5thavenue,1
"2020-04-15 16:56:12",70days,1
"2020-04-15 03:21:45",a,1
"2020-04-15 01:15:48",aapa,1
"2020-04-15 19:39:19",ABC,2
"2020-04-15 19:39:19",abc7eyewitness,2
"2020-04-15 22:40:00",ability,1
"2020-04-15 14:35:56",abpoli,3
"2020-04-15 14:01:20",abstract,2
"2020-04-15 12:53:04",abundance,2
"2020-04-15 03:33:40",AcademicChatter,1
"2020-04-15 21:07:55",academicmaterial,1
"2020-04-15 13:12:08",AcademicTwitter,1
"2020-04-15 02:12:43",aceistheplace,1
"2020-04-15 14:01:20",acrylic,2
"2020-04-15 02:57:27",action,1
"2020-04-15 13:47:33",AD,1
"2020-04-15 10:48:08",adagencies,1
"2020-04-15 20:33:33",adaptation,1
"2020-04-15 21:46:23",ADayInTheLifeOfCee,1
"2020-04-15 04:16:59",addiction,1
"2020-04-15 15:36:19",adjunctprofessor,1
"2020-04-15 21:31:06",AdoptDontShop,1
"2020-04-15 10:18:52",adrevenue,2
"2020-04-15 13:35:13",Adventure,2
"2020-04-15 10:18:52",advertising,2
"2020-04-15 10:48:08",advertsing,1
"2020-04-15 16:41:31",advocacy,2
"2020-04-15 14:56:52",AEK,1
"2020-04-15 11:54:18",afropic,1
"2020-04-15 11:54:18",afros,1
"2020-04-15 15:49:37",aftertherain,1
"2020-04-15 15:48:55",again,1
"2020-04-15 20:44:00",agingout,1
"2020-04-15 03:10:37",AGlassofWine,1
"2020-04-15 08:52:09",AHORA,4
"2020-04-15 00:35:19",Ajax,1
"2020-04-15 00:00:41",AK,1
"2020-04-15 02:09:31",Albany,3
"2020-04-15 02:09:31",albanyny,1
"2020-04-15 20:33:33",AlbertEinstein,1
"2020-04-15 11:14:00",AlcoholSpray,1
"2020-04-15 08:52:09",ÁlexRodríguez,1
"2020-04-15 22:44:24",Algeria,1
"2020-04-15 02:42:31",Algerie,1
"2020-04-15 13:41:32",allday,1
"2020-04-15 13:44:26",alldressedupandnowheretogo,1
"2020-04-15 04:26:32",ALLINCHALLENGE,1
"2020-04-15 00:09:47",AllInThisTogether,4
