TweetDate,Hashtag,HashtagFreq
"2020-04-05 23:59:51",abdsc,8
"2020-04-05 23:59:51",BigData,10
"2020-04-05 23:59:51",DataLiteracy,8
"2020-04-05 23:59:51",DataScience,22
"2020-04-05 23:59:51",DataViz,8
"2020-04-05 23:59:01",UGA,3
"2020-04-05 23:58:54",LiberateAndChill,2
"2020-04-05 23:58:07",STEMeducation,1
"2020-04-05 23:58:07",teachermom,1
"2020-04-05 23:58:07",workingmom,1
"2020-04-05 23:58:02",TrumpMobInc,2
"2020-04-05 23:57:19",journalists,1
"2020-04-05 23:56:19",flu,2
"2020-04-05 23:56:19",prepper,12
"2020-04-05 23:56:19",virus,9
"2020-04-05 23:56:06",gop,50
"2020-04-05 23:56:06",TrumpDepression,21
"2020-04-05 23:56:02",facemasks,1
"2020-04-05 23:56:02",healthcareforall,4
"2020-04-05 23:56:02",ShelterinPlace,14
"2020-04-05 23:54:01",pandemic,69
"2020-04-05 23:54:01",ROC,74
"2020-04-05 23:54:01",SocialDistance,4
"2020-04-05 23:53:31",COVID19,559
"2020-04-05 23:53:31",quarantine,82
"2020-04-05 23:53:31",RollTide,1
"2020-04-05 23:52:52",COVID1984,61
"2020-04-05 23:52:11",PSA,2
"2020-04-05 23:52:11",WuhanCoronaVirus,1
"2020-04-05 23:51:51",jobsearch,6
"2020-04-05 23:51:51",LinkedInpremium,6
"2020-04-05 23:50:02",Healthy,22
"2020-04-05 23:49:52",CoronavirusUSA,23
"2020-04-05 23:49:52",PabstBlueRibbon,1
"2020-04-05 23:49:49",OddCensusQuestions,6
"2020-04-05 23:49:04",COVID19hv,5
"2020-04-05 23:47:15",Sinclair,1
"2020-04-05 23:46:18",FlattenTheCuve,3
"2020-04-05 23:44:17",3Dprinting,3
"2020-04-05 23:43:28",hoaxvirus,4
"2020-04-05 23:42:48",News12LI,1
"2020-04-05 23:42:26",coronavirus,1233
"2020-04-05 23:42:26",disinfectant,1
"2020-04-05 23:42:08",ThanksCarol,1
"2020-04-05 23:42:07",Antiparos,5
"2020-04-05 23:41:53",tigerking,31
"2020-04-05 23:41:43",BREAKING,35
"2020-04-05 23:40:57",70DaysOfDenial,2
"2020-04-05 23:40:57",GOPBetrayedAmerica,2
"2020-04-05 23:40:44",Buffalo,24
"2020-04-05 23:39:45",Latest,7
"2020-04-05 23:37:14",CoronaVirusNY,12
"2020-04-05 23:37:14",ShutDown,13
"2020-04-05 23:37:12",doingmypart,1
"2020-04-05 23:37:12",tellmehowgreatiam,1
"2020-04-05 23:36:47",KateBrown,1
"2020-04-05 23:36:47",NRA,1
"2020-04-05 23:36:47",Oregon,1
"2020-04-05 23:36:47",ProLife,1
"2020-04-05 23:36:47",republican,2
"2020-04-05 23:36:16",BrockU,1
"2020-04-05 23:36:15",DontPanic,1
"2020-04-05 23:36:15",IsTheSickJokeOverYet,1
"2020-04-05 23:36:15",ItsLikeATinySpikeyBallOfOuch,1
"2020-04-05 23:35:20",palmsunday,15
"2020-04-05 23:35:04",smilingduringcoronavirus,1
"2020-04-05 23:35:03",refugeesgr,148
"2020-04-05 23:33:26",GoFauci,3
"2020-04-05 23:33:26",TeamFauci,3
"2020-04-05 23:33:04",QuarantineKaraoke,1
"2020-04-05 23:33:02",Chernobyl,9
"2020-04-05 23:30:40",karaoke,4
"2020-04-05 23:30:37",startups,1
"2020-04-05 23:30:37",TechnologyNews,1
"2020-04-05 23:29:37",covid_19GR,7
"2020-04-05 23:29:37",απαγορευση_κυκλοφοριας,10
"2020-04-05 23:29:37",κορωνοιος,4
"2020-04-05 23:29:37",Τσερνομπιλ,6
"2020-04-05 23:29:37",τσιόδρας,3
"2020-04-05 23:29:11",Kindle,1
"2020-04-05 23:28:19",CoronavirusPandemic,37
"2020-04-05 23:28:10",DataScientists,3
"2020-04-05 23:26:47",fujimusic,1
"2020-04-05 23:26:47",kingwasiuayindemarshal,1
"2020-04-05 23:26:47",kwam1,1
"2020-04-05 23:26:47",wasiuayinde,1
"2020-04-05 23:26:45",SoundCloud,3
"2020-04-05 23:26:10",SomeOneCoughOnPatRobertson,1
"2020-04-05 23:24:38",blerdgirlblogging,1
"2020-04-05 23:24:38",blogpost,1
"2020-04-05 23:24:38",SinceIveBeenQuarantined,5
"2020-04-05 23:24:09",LeaveNoOneBehind,3
"2020-04-05 23:23:03",CaptainBrettCrozier,1
"2020-04-05 23:21:39",QuarantineActivities,2
"2020-04-05 23:21:28",freebiebabe,1
"2020-04-05 23:20:58",leaked,1
"2020-04-05 23:20:58",rehearsalfootage,1
"2020-04-05 23:20:33",StopTheSpread,6
"2020-04-05 23:20:31",menoume_spiti,16
"2020-04-05 23:20:31",μενουμε_σπιτι,22
"2020-04-05 23:20:31",ΜΕΝΟΥΜΕΣΠΙΤΙ,16
"2020-04-05 23:20:25",CivicDuty,1
"2020-04-05 23:19:34",TrumpIsALoser,8
"2020-04-05 23:19:29",cult45,1
"2020-04-05 23:19:29",Giuliani,1
"2020-04-05 23:19:29",HHS,1
"2020-04-05 23:19:29",QAnon2020,1
"2020-04-05 23:19:17",60Minutes,1
"2020-04-05 23:18:49",QuarantineLife,26
"2020-04-05 23:18:49",SocialDistancing,18
"2020-04-05 23:18:18",RudyColludy,1
"2020-04-05 23:18:16",flautas,1
"2020-04-05 23:18:16",iwannagoinside,1
"2020-04-05 23:18:16",reedsliquorstore,1
"2020-04-05 23:18:11",BuffaloEveningNews,6
"2020-04-05 23:15:23",bald,1
"2020-04-05 23:15:23",lastNightsProject,1
"2020-04-05 23:15:17",twithaca,16
"2020-04-05 23:15:00",BermasBrigade,18
"2020-04-05 23:13:54",IdahoCovid19,12
"2020-04-05 23:13:39",wrestlemania,5
"2020-04-05 23:13:22",mepolitics,75
"2020-04-05 23:13:22",resist,78
"2020-04-05 23:13:22",VoteBlue2020,32
"2020-04-05 23:13:08",DontRushChallenege,2
"2020-04-05 23:12:15",virologist,23
"2020-04-05 23:12:15",virushunter,27
"2020-04-05 23:09:05",physicaldistancing,4
"2020-04-05 23:09:03",animals,3
"2020-04-05 23:09:03",cats,3
"2020-04-05 23:07:56",WhiteHouseBriefing,1
"2020-04-05 23:07:42",BronxZoo,1
"2020-04-05 23:06:12",coronahike,1
"2020-04-05 23:05:45",programming,7
"2020-04-05 23:05:35",DrTrump,14
"2020-04-05 23:04:27",FoxNews,21
"2020-04-05 23:03:13",QuarantineDiaries,12
"2020-04-05 23:03:13",SundayThoughts,24
"2020-04-05 23:02:51",70days,12
"2020-04-05 23:02:51",CNN,94
"2020-04-05 23:02:22",parenting,1
"2020-04-05 23:02:14",voteblue,30
"2020-04-05 23:02:12",boss,1
"2020-04-05 23:02:12",bossbabe,1
"2020-04-05 23:02:12",online,1
"2020-04-05 23:02:12",onlinebiz,1
"2020-04-05 23:02:12",onlinebusiness,2
"2020-04-05 23:02:12",sidehustle,1
"2020-04-05 23:02:12",sifebiz,1
"2020-04-05 23:02:12",sitebusiness,1
"2020-04-05 23:02:12",workfromhome,1
"2020-04-05 23:02:12",workfromphone,1
"2020-04-05 23:02:02",africa,1
"2020-04-05 23:02:02",ExampleSet,1
"2020-04-05 23:02:02",OneLove,1
"2020-04-05 23:02:01",StayStrong,1
"2020-04-05 23:01:47",Event201,3
"2020-04-05 23:01:47",SlowRollout,3
"2020-04-05 23:01:41",brotherlylove,1
"2020-04-05 23:01:41",myloves,1
"2020-04-05 23:01:41",silverlining,1
"2020-04-05 23:00:52",President,1
"2020-04-05 22:58:33",SARSCoV2,18
"2020-04-05 22:58:31",GxFR,2
"2020-04-05 22:56:38",Chromatica,4
"2020-04-05 22:56:04",pets,1
"2020-04-05 22:53:40",AOMG,1
"2020-04-05 22:53:40",jaypark,1
"2020-04-05 22:53:07",ParksAndRec,1
"2020-04-05 22:52:56",StayTheFHome,1
"2020-04-05 22:51:31",bigdumb,1
"2020-04-05 22:48:47",AutoPartStoreEmployees,1
"2020-04-05 22:48:06",hanginthere,1
"2020-04-05 22:48:06",makeup,1
"2020-04-05 22:48:01",follow,2
"2020-04-05 22:48:01",News,3
"2020-04-05 22:47:49",prayers,2
"2020-04-05 22:46:53",cabinfever,2
"2020-04-05 22:46:52",cakeformen,1
"2020-04-05 22:46:52",cakeforwomen,1
"2020-04-05 22:46:52",coronaviruscake,1
"2020-04-05 22:46:52",facemask,2
"2020-04-05 22:46:52",toiletpapercake,1
"2020-04-05 22:46:48",newyorkstatestrongertogether,1
"2020-04-05 22:45:34",incometax,1
"2020-04-05 22:44:09",FireFauci,3
"2020-04-05 22:43:04",LocalSYR,5
"2020-04-05 22:41:38",mustwatch,1
"2020-04-05 22:40:07",ClusterTrump,2
